generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1774311754-o4Mx2v5UD18GhQFVOudx,2026-03-24 00:22:34.925,0.00056,,,0,0,2050,422,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,6270,347,,libri
gen-1774311752-Oa6Db9KddackwqeRwxu0,2026-03-24 00:22:32.357,0.000621,,,0,0,2144,500,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,8275,421,,libri
gen-1774311716-j0o6TWXL3MA56hvWrHm2,2026-03-24 00:21:56.799,0.000972,,,,0,2049,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,38045,297,,libri
gen-1774311715-7PCYeJRf9TcYuZNw3J6I,2026-03-24 00:21:55.214,0.000988,,,,0,2367,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,41524,178,,libri
gen-1774311714-11JeNCh54bhcuPMYgOwX,2026-03-24 00:21:54.150,0.000981,,,,0,2219,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,47051,1038,,libri
gen-1774311714-ZMWStjStO4CvqWtMNy3A,2026-03-24 00:21:54.016,0.00097,,,,0,2000,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,43657,248,,libri
gen-1774311712-g1BG3zW3rWUic5bIHfzM,2026-03-24 00:21:52.220,0.000979,,,,0,2185,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,42705,287,,libri
gen-1774311712-u7AKXXmsIYaHmaLOHmos,2026-03-24 00:21:52.202,0.000984,,,,0,2289,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,48962,194,,libri
gen-1774311711-nCbOtDS7maIw0ZI2CsK5,2026-03-24 00:21:51.910,0.000975,,,,0,2106,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,47547,243,,libri
gen-1774311711-YMRVhPjbLe2dUpFDZsHD,2026-03-24 00:21:51.597,0.00098,,,,0,2203,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,48505,168,,libri
gen-1774311710-jrkQ3LZQMf05vuzJpJLL,2026-03-24 00:21:50.710,0.000958,,,,0,1770,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,46280,173,,libri
gen-1774311704-DvFV3UpYbQ85YAGfPDwP,2026-03-24 00:21:44.588,0.00055,,,0,0,2503,291,0,0,openai/gpt-4o-mini,OpenAI,standard,true,true,,,,3780,428,,libri
gen-1774311702-JU5FVFDCqcZ4isHGbLsK,2026-03-24 00:21:42.727,0.000977,,,,0,2143,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,49584,200,,libri
gen-1774311701-oypJXy2W7IDyawKIY9eY,2026-03-24 00:21:41.820,0.000625,,,0,0,2552,404,0,0,openai/gpt-4o-mini,OpenAI,standard,true,true,,,,4620,387,,libri
