generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1774311260-AjxGfDEHsgbKsFmyObCD,2026-03-24 00:14:20.696,0.000981,,,,0,2224,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,53215,279,,libri
gen-1774311249-WYHu48xjKLw2EkJHlMXX,2026-03-24 00:14:09.328,0.000972,,,,0,2035,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,50230,252,,libri
gen-1774311247-VzA3oJb86CD5yvdjetb7,2026-03-24 00:14:07.818,0.000982,,,,0,2246,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,42952,300,,libri
gen-1774311246-oqtGFMisOhOzAPqj0JGX,2026-03-24 00:14:06.285,0.000641,,,0,0,2209,517,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,9117,535,,libri
gen-1774311237-Pqqi4q8dsEyHzEOE9P7I,2026-03-24 00:13:57.560,0.000975,,,,0,2092,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,45323,269,,libri
gen-1774311237-wtwSiRLz3LuPI1juA2dF,2026-03-24 00:13:57.518,0.000983,,,,0,2255,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,39930,220,,libri
gen-1774311234-frz8dvcNnk4k8pRmNx1L,2026-03-24 00:13:54.296,0.00098,,,,0,2211,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,48085,284,,libri
gen-1774311234-LIEBEtF1frPUdu6dLoLI,2026-03-24 00:13:54.144,0.000597,,,0,0,2068,478,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,9343,448,,libri
gen-1774311231-ioBN7xcXxwG1NdVDDycG,2026-03-24 00:13:51.614,0.000632,,,0,0,2106,528,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,10131,427,,libri
gen-1774311229-DEGFa4U3ljj0XE2OZhkz,2026-03-24 00:13:49.858,0.00098,,,,0,2194,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,46185,198,,libri
gen-1774311226-37QuowJWVQB17KfyodCW,2026-03-24 00:13:46.347,0.000981,,,,0,2215,2176,2176,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,58434,198,,libri
gen-1774311224-Ee8zd1yuW5XazBVDRmJ5,2026-03-24 00:13:44.666,0.000615,,,0,0,2164,485,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,9939,502,,libri
